,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,La Palma,US,33.8464,-118.0467,64.99,63,90,3.44,overcast clouds,0.0,0.0
1,Hastings,GB,50.8552,0.5729,51.8,62,13,16.11,few clouds,0.0,0.0
2,Hambantota,LK,6.1241,81.1185,80.44,81,60,4.0,broken clouds,0.0,0.0
3,Axim,GH,4.8699,-2.2405,82.87,79,94,8.68,light rain,0.3,0.0
4,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,33.8,100,90,4.47,overcast clouds,0.0,0.0
5,Busselton,AU,-33.65,115.3333,52.0,88,0,1.86,clear sky,0.0,0.0
6,Husavik,IS,66.0449,-17.3389,53.6,54,0,11.5,clear sky,0.0,0.0
7,Hithadhoo,MV,-0.6,73.0833,83.5,70,46,7.81,scattered clouds,0.0,0.0
8,Punta Arenas,CL,-53.15,-70.9167,50.0,76,96,5.75,overcast clouds,0.0,0.0
9,Upernavik,GL,72.7868,-56.1549,34.16,85,40,5.99,scattered clouds,0.0,0.0
10,Atuona,PF,-9.8,-139.0333,80.65,73,25,21.23,scattered clouds,0.0,0.0
11,Poum,NC,-20.2333,164.0167,78.28,81,97,14.2,overcast clouds,0.0,0.0
12,Ampanihy,MG,-24.7,44.75,71.53,71,44,2.98,scattered clouds,0.0,0.0
13,Hilo,US,19.7297,-155.09,69.8,88,90,3.44,moderate rain,3.3,0.0
14,Ushuaia,AR,-54.8,-68.3,55.4,58,40,16.11,scattered clouds,0.0,0.0
15,Krasnyy Chikoy,RU,50.3643,108.7512,44.92,58,100,3.47,overcast clouds,0.0,0.0
16,Isangel,VU,-19.55,169.2667,77.25,80,86,9.86,overcast clouds,0.0,0.0
17,Puerto Ayora,EC,-0.7393,-90.3518,80.6,74,75,16.11,broken clouds,0.0,0.0
18,Biak,ID,-0.9131,122.8766,77.29,76,75,5.79,broken clouds,0.0,0.0
19,Colac,AU,-38.3333,143.5833,51.01,1,85,3.69,overcast clouds,0.0,0.0
20,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,88,75,17.27,broken clouds,0.0,0.0
21,Esperance,AU,-33.8667,121.9,59.0,77,88,12.66,overcast clouds,0.0,0.0
22,Talnakh,RU,69.4865,88.3972,30.56,97,100,11.05,light snow,0.0,0.29
23,Chuy,UY,-33.6971,-53.4616,71.82,69,100,7.2,light rain,0.648,0.0
24,Takhli,TH,15.2634,100.3438,84.99,77,94,9.42,overcast clouds,0.0,0.0
25,Sangar,RU,63.9242,127.4739,15.48,95,88,1.68,overcast clouds,0.0,0.0
26,Rikitea,PF,-23.1203,-134.9692,78.58,70,99,16.15,overcast clouds,0.0,0.0
27,Tasiilaq,GL,65.6145,-37.6368,37.4,75,75,4.61,broken clouds,0.0,0.0
28,Port Elizabeth,ZA,-33.918,25.5701,57.2,100,0,8.05,clear sky,0.0,0.0
29,Antofagasta,CL,-23.65,-70.4,69.01,59,40,11.5,scattered clouds,0.0,0.0
30,Lusambo,CD,-4.9667,23.45,71.67,98,100,2.28,overcast clouds,0.0,0.0
31,Buchanan,LR,5.8808,-10.0467,87.8,74,40,11.5,scattered clouds,0.0,0.0
32,Abu Samrah,SY,35.3029,37.1841,74.57,39,57,11.23,broken clouds,0.0,0.0
33,Longyearbyen,SJ,78.2186,15.6401,26.6,63,75,4.61,broken clouds,0.0,0.0
34,Mataura,NZ,-46.1927,168.8643,51.01,74,59,8.99,light rain,0.32,0.0
35,Bambous Virieux,MU,-20.3428,57.7575,79.0,89,75,14.97,light rain,0.81,0.0
36,Guaira,BR,-20.3183,-48.3106,87.96,18,0,5.99,clear sky,0.0,0.0
37,Faanui,PF,-16.4833,-151.75,80.01,74,100,7.63,light rain,0.97,0.0
38,Kholtoson,RU,50.2981,103.3097,30.52,98,100,2.06,snow,0.0,2.734
39,Viedma,AR,-40.8135,-62.9967,61.74,56,78,16.69,broken clouds,0.0,0.0
40,Kropotkin,RU,45.4375,40.5756,47.14,71,68,7.7,broken clouds,0.0,0.0
41,Cape Town,ZA,-33.9258,18.4232,63.0,77,0,13.8,clear sky,0.0,0.0
42,Hobart,AU,-42.8794,147.3294,50.0,81,40,8.05,scattered clouds,0.0,0.0
43,Bredasdorp,ZA,-34.5322,20.0403,55.4,88,96,4.61,overcast clouds,0.0,0.0
44,Moncagua,SV,13.5333,-88.25,91.4,49,40,2.3,scattered clouds,0.0,0.0
45,Baraboo,US,43.4711,-89.7443,59.0,51,90,12.66,overcast clouds,0.0,0.0
46,Tiksi,RU,71.6872,128.8694,30.79,93,100,12.12,overcast clouds,0.0,0.0
47,Fort Saint James,CA,54.4333,-124.25,44.96,30,6,7.65,clear sky,0.0,0.0
48,Qaanaaq,GL,77.484,-69.3632,28.17,66,99,7.29,overcast clouds,0.0,0.0
49,Ilulissat,GL,69.2167,-51.1,41.0,60,40,3.44,scattered clouds,0.0,0.0
50,Pangai,TO,-19.8,-174.35,79.95,79,89,11.3,light rain,0.11,0.0
51,Gamba,GA,-2.65,10.0,76.57,85,100,6.62,overcast clouds,0.0,0.0
52,Kloulklubed,PW,7.0419,134.2556,82.4,78,75,11.5,broken clouds,0.0,0.0
53,Ixtapa,MX,20.7,-105.2,82.4,57,75,9.22,broken clouds,0.0,0.0
54,Albany,US,42.6001,-73.9662,70.0,19,57,1.99,broken clouds,0.0,0.0
55,Kavieng,PG,-2.5744,150.7967,80.82,79,83,6.91,moderate rain,1.11,0.0
56,Zhigansk,RU,66.7697,123.3711,33.19,98,100,10.04,light snow,0.0,0.29
57,Agadez,NE,19.75,10.25,92.21,9,1,6.69,clear sky,0.0,0.0
58,Shahrud,IR,36.4182,54.9763,69.08,42,100,2.35,overcast clouds,0.0,0.0
59,Jamestown,US,42.097,-79.2353,62.01,30,1,13.8,clear sky,0.0,0.0
60,Bhag,PK,29.0415,67.8239,88.75,16,0,5.91,clear sky,0.0,0.0
61,Hasaki,JP,35.7333,140.8333,50.0,100,20,3.44,fog,0.0,0.0
62,Bluff,NZ,-46.6,168.3333,51.01,74,82,8.99,moderate rain,1.15,0.0
63,Moree,AU,-29.4667,149.85,44.6,76,30,3.44,scattered clouds,0.0,0.0
64,Samarai,PG,-10.6167,150.6667,81.93,80,95,12.91,overcast clouds,0.0,0.0
65,Clyde River,CA,70.4692,-68.5914,15.8,100,75,4.61,broken clouds,0.0,0.0
66,Codrington,AU,-38.2667,141.9667,50.88,92,100,6.15,overcast clouds,0.0,0.0
67,Novoutkinsk,RU,56.993,59.5571,39.87,74,100,9.13,overcast clouds,0.0,0.0
68,Beira,MZ,-19.8436,34.8389,73.4,83,0,8.81,clear sky,0.0,0.0
69,Touros,BR,-5.1989,-35.4608,84.2,70,40,16.11,scattered clouds,0.0,0.0
70,Khatanga,RU,71.9667,102.5,32.23,97,100,17.07,light snow,0.0,0.13
71,Torbay,CA,47.6666,-52.7314,51.8,37,75,28.77,broken clouds,0.0,0.0
72,Constitucion,CL,-35.3333,-72.4167,65.5,55,0,15.37,clear sky,0.0,0.0
73,Yellowknife,CA,62.456,-114.3525,17.01,57,40,12.66,scattered clouds,0.0,0.0
74,Ndele,CF,8.4109,20.6473,76.17,72,67,6.62,light rain,0.48,0.0
75,Avarua,CK,-21.2078,-159.775,78.8,73,20,12.66,few clouds,0.0,0.0
76,Vila Velha,BR,-20.3297,-40.2925,81.0,65,20,11.5,few clouds,0.0,0.0
77,Kupang,ID,-10.1667,123.5833,76.01,86,6,8.32,clear sky,0.0,0.0
78,Cidreira,BR,-30.1811,-50.2056,74.5,69,25,13.44,scattered clouds,0.0,0.0
79,Barrow,US,71.2906,-156.7887,24.8,80,1,3.13,clear sky,0.0,0.0
80,Shelburne,CA,44.0787,-80.2041,63.0,30,54,9.15,broken clouds,0.0,0.0
81,Cairns,AU,-16.9167,145.7667,73.99,100,90,12.66,moderate rain,1.33,0.0
82,Hamilton,US,39.1834,-84.5333,54.0,66,90,3.44,moderate rain,1.03,0.0
83,New Norfolk,AU,-42.7826,147.0587,50.0,84,99,2.91,overcast clouds,0.0,0.0
84,Vaini,TO,-21.2,-175.2,69.8,100,75,2.3,broken clouds,0.0,0.0
85,Souillac,MU,-20.5167,57.5167,78.8,89,75,14.97,light rain,0.38,0.0
86,Hermanus,ZA,-34.4187,19.2345,62.01,80,98,1.01,overcast clouds,0.0,0.0
87,Srednekolymsk,RU,67.45,153.6833,10.98,95,100,8.81,light snow,0.0,0.19
88,Lebu,CL,-37.6167,-73.65,57.81,68,2,17.27,clear sky,0.0,0.0
89,Dingle,PH,10.9995,122.6711,76.37,84,78,1.41,light rain,0.1732,0.0
90,Kapaa,US,22.0752,-159.319,75.2,73,40,16.11,scattered clouds,0.0,0.0
91,Saint-Philippe,RE,-21.3585,55.7679,78.8,83,75,27.63,moderate rain,1.25,0.0
92,Kilindoni,TZ,-7.9139,39.6668,78.85,90,100,10.92,light rain,0.37,0.0
93,Mahebourg,MU,-20.4081,57.7,78.8,89,75,14.97,light rain,0.8,0.0
94,Sitka,US,57.0531,-135.33,51.8,40,1,5.75,clear sky,0.0,0.0
95,Aljezur,PT,37.3191,-8.8033,63.43,80,97,11.56,overcast clouds,0.0,0.0
96,High Rock,BS,26.6208,-78.2833,80.6,74,75,17.27,broken clouds,0.0,0.0
97,Port Lincoln,AU,-34.7333,135.8667,57.74,71,0,4.36,clear sky,0.0,0.0
98,Wuning,CN,29.2589,120.2311,63.41,94,100,3.91,light rain,0.6026,0.0
99,Thompson,CA,55.7435,-97.8558,23.0,54,90,4.18,light snow,0.0,0.13
100,Castro,BR,-24.7911,-50.0119,73.76,49,7,6.06,clear sky,0.0,0.0
101,Vyshneve,UA,50.3891,30.3705,44.01,49,0,13.42,clear sky,0.0,0.0
102,Ushtobe,KZ,45.2514,77.9838,40.03,39,100,15.95,overcast clouds,0.0,0.0
103,Saskylakh,RU,71.9167,114.0833,32.41,92,100,12.68,overcast clouds,0.0,0.0
104,Kaitangata,NZ,-46.2817,169.8464,43.0,88,45,1.99,scattered clouds,0.0,0.0
105,Fortuna,US,40.5982,-124.1573,54.0,87,90,8.05,overcast clouds,0.1,0.0
106,Dongsheng,CN,39.8161,109.9776,49.41,70,100,13.49,moderate rain,1.6514,0.0
107,Bolshaya Rechka,RU,51.9503,104.7355,32.0,86,20,1.52,light snow,0.0,0.42
108,Jalu,LY,29.0331,21.5482,72.86,43,28,26.64,scattered clouds,0.0,0.0
109,Nargana,PA,9.4428,-78.5906,82.24,77,44,12.15,scattered clouds,0.0,0.0
110,Aykhal,RU,66.0,111.5,22.26,96,86,6.96,overcast clouds,0.0,0.0
111,Shimoda,JP,34.6667,138.95,53.01,73,20,4.0,few clouds,0.0,0.0
112,Golden,US,39.7555,-105.2211,53.01,66,75,5.17,broken clouds,0.0,0.0
113,Hobyo,SO,5.3505,48.5268,84.33,69,41,12.91,scattered clouds,0.0,0.0
114,Burnie,AU,-41.0667,145.9167,46.99,88,68,3.0,broken clouds,0.0,0.0
115,Mar Del Plata,AR,-38.0023,-57.5575,66.2,63,40,12.66,scattered clouds,0.0,0.0
116,Pisco,PE,-13.7,-76.2167,70.0,83,0,9.22,clear sky,0.0,0.0
117,West Wendover,US,40.7391,-114.0733,64.4,16,1,8.05,clear sky,0.0,0.0
118,Miquelon,PM,47.0975,-56.3814,42.8,81,75,19.57,broken clouds,0.0,0.0
119,Geraldton,AU,-28.7667,114.6,60.8,94,40,5.75,scattered clouds,0.0,0.0
120,Kruisfontein,ZA,-34.0033,24.7314,60.01,92,90,1.99,overcast clouds,0.0,0.0
121,Ahipara,NZ,-35.1667,173.1667,59.05,82,69,8.79,broken clouds,0.0,0.0
122,Iroquois Falls,CA,48.7669,-80.6831,41.0,65,90,8.05,overcast clouds,0.0,0.0
123,Gao,ML,16.6362,1.637,96.84,5,7,9.15,clear sky,0.0,0.0
124,East London,ZA,-33.0153,27.9116,64.4,88,0,4.61,clear sky,0.0,0.0
125,Lagos,NG,6.5833,3.75,84.2,79,40,11.5,scattered clouds,0.0,0.0
126,Ambilobe,MG,-13.2,49.05,74.59,92,31,3.15,scattered clouds,0.0,0.0
127,Talakan,RU,50.3167,130.3667,28.92,70,47,5.03,scattered clouds,0.0,0.0
128,Asau,RO,46.4333,26.4,53.6,50,0,3.44,clear sky,0.0,0.0
129,Port Hardy,CA,50.6996,-127.4199,46.4,93,90,3.44,light rain,0.13,0.0
130,Valle Nacional,MX,17.7833,-96.3167,104.54,22,96,5.91,overcast clouds,0.0,0.0
131,Carnarvon,AU,-24.8667,113.6333,62.6,94,0,6.91,clear sky,0.0,0.0
132,Terrace,CA,54.5163,-128.6035,51.8,32,20,13.8,few clouds,0.0,0.0
133,Sesheke,ZM,-17.4759,24.2968,72.37,40,82,3.31,broken clouds,0.0,0.0
134,Sosnogorsk,RU,63.6023,53.8817,46.09,69,70,5.84,broken clouds,0.0,0.0
135,Trelew,AR,-43.249,-65.3051,62.02,38,11,5.53,few clouds,0.0,0.0
136,Sao Filipe,CV,14.8961,-24.4956,71.96,74,60,14.83,broken clouds,0.0,0.0
137,Meulaboh,ID,4.1363,96.1285,76.12,85,100,2.89,overcast clouds,0.0,0.0
138,Cabo San Lucas,MX,22.8909,-109.9124,82.0,41,1,8.05,clear sky,0.0,0.0
139,Montigny-Le-Bretonneux,FR,48.7664,2.0341,64.0,34,0,10.36,clear sky,0.0,0.0
140,Tanabe,JP,33.7333,135.3667,54.3,87,8,3.89,clear sky,0.0,0.0
141,Glenwood Springs,US,39.5505,-107.3248,60.01,28,46,6.91,scattered clouds,0.0,0.0
142,Tanete,ID,-3.9443,119.7848,73.9,95,96,2.39,overcast clouds,0.0,0.0
143,Yushu,CN,44.8,126.5333,41.5,26,0,6.58,clear sky,0.0,0.0
144,Arraial Do Cabo,BR,-22.9661,-42.0278,78.8,73,20,12.66,few clouds,0.0,0.0
145,Castlegar,CA,49.2998,-117.6689,48.2,81,100,4.61,overcast clouds,0.0,0.0
146,Chapais,CA,49.7834,-74.8492,46.4,36,1,9.22,clear sky,0.0,0.0
147,Chifeng,CN,42.2683,118.9636,43.02,59,57,1.05,broken clouds,0.0,0.0
148,Asosa,ET,10.0667,34.5333,65.73,75,88,6.33,overcast clouds,0.0,0.0
149,San Policarpo,PH,12.1791,125.5072,77.32,86,86,4.74,overcast clouds,0.0,0.0
150,Caibarien,CU,22.5206,-79.4669,93.2,26,40,9.22,scattered clouds,0.0,0.0
151,Acapulco,MX,16.8634,-99.8901,86.0,45,75,6.91,broken clouds,0.0,0.0
152,Chernyshevskiy,RU,63.0128,112.4714,28.36,98,98,2.37,overcast clouds,0.0,0.0
153,Norman Wells,CA,65.282,-126.8329,30.2,64,75,3.44,broken clouds,0.0,0.0
154,Vidim,RU,56.4088,103.1106,32.2,98,100,4.56,light snow,0.0,0.14
155,Egvekinot,RU,66.3167,-179.1667,17.85,89,94,0.78,overcast clouds,0.0,0.0
156,Pandan,PH,14.0453,124.1694,77.43,84,42,4.41,scattered clouds,0.0,0.0
157,Bantogon,PH,6.5333,124.0333,78.35,78,48,3.51,scattered clouds,0.0,0.0
158,Mitchell,US,43.7094,-98.0298,46.4,25,1,12.66,clear sky,0.0,0.0
159,Rio Gallegos,AR,-51.6226,-69.2181,60.8,36,0,6.91,clear sky,0.0,0.0
160,Aksu,CN,41.1231,80.2644,57.34,29,33,4.79,scattered clouds,0.0,0.0
161,Tezu,IN,27.9167,96.1667,74.77,25,71,5.35,broken clouds,0.0,0.0
162,Nikolskoye,RU,59.7035,30.7861,42.01,60,20,2.24,few clouds,0.0,0.0
163,Bethel,US,41.3712,-73.414,70.0,24,1,5.75,clear sky,0.0,0.0
164,Puro,PH,12.4841,123.3827,80.65,76,77,0.63,broken clouds,0.0,0.0
165,Vardo,NO,70.3705,31.1107,33.33,91,100,22.7,light snow,0.0,0.273
166,Aransas Pass,US,27.9095,-97.15,95.0,13,1,14.97,clear sky,0.0,0.0
