City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,La Palma,US,64.99,overcast clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
2,Hambantota,LK,80.44,broken clouds,6.1241,81.1185,Bungalow 63
3,Axim,GH,82.87,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
7,Hithadhoo,MV,83.5,scattered clouds,-0.6,73.0833,Scoop Guest House
10,Atuona,PF,80.65,scattered clouds,-9.8,-139.0333,Villa Enata
11,Poum,NC,78.28,overcast clouds,-20.2333,164.0167,Gîte kajeon
12,Ampanihy,MG,71.53,scattered clouds,-24.7,44.75,Angora Hotel
13,Hilo,US,69.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
16,Isangel,VU,77.25,overcast clouds,-19.55,169.2667,Tanna Lodge
17,Puerto Ayora,EC,80.6,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
18,Biak,ID,77.29,broken clouds,-0.9131,122.8766,Penginapan Kim
23,Chuy,UY,71.82,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
24,Takhli,TH,84.99,overcast clouds,15.2634,100.3438,โรงเเรมกอล์ฟ 19
26,Rikitea,PF,78.58,overcast clouds,-23.1203,-134.9692,Pension Maro'i
29,Antofagasta,CL,69.01,scattered clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
30,Lusambo,CD,71.67,overcast clouds,-4.9667,23.45,Quinta Samay
31,Buchanan,LR,87.8,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
32,Abu Samrah,SY,74.57,broken clouds,35.3029,37.1841,Quinta Samay
35,Bambous Virieux,MU,79.0,light rain,-20.3428,57.7575,Casa Tia Villa
36,Guaira,BR,87.96,clear sky,-20.3183,-48.3106,Hotel do Lago
37,Faanui,PF,80.01,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
39,Viedma,AR,61.74,broken clouds,-40.8135,-62.9967,Hotel Cristal
41,Cape Town,ZA,63.0,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
50,Pangai,TO,79.95,light rain,-19.8,-174.35,Ha'apai Beach Resort
51,Gamba,GA,76.57,overcast clouds,-2.65,10.0,Quinta Samay
52,Kloulklubed,PW,82.4,broken clouds,7.0419,134.2556,Storyboard Beach Resort
53,Ixtapa,MX,82.4,broken clouds,20.7,-105.2,Hotel Plaza Providencia
54,Albany,US,70.0,broken clouds,42.6001,-73.9662,Quinta Samay
55,Kavieng,PG,80.82,moderate rain,-2.5744,150.7967,Nusa Island Retreat
58,Shahrud,IR,69.08,overcast clouds,36.4182,54.9763,Royal Hotel
59,Jamestown,US,62.01,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
