City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Puerto Ayora,-0.7393,-90.3518,78.8,83,75,9.22,EC,2021-04-18 22:35:49
1,Araouane,18.9048,-3.5265,83.08,10,0,9.62,ML,2021-04-18 22:35:50
2,Butaritari,3.0707,172.7902,83.17,75,81,14.05,KI,2021-04-18 22:32:21
3,Esna,25.2934,32.554,86.0,32,0,5.75,EG,2021-04-18 22:35:50
4,Sandpoint,48.2766,-116.5533,72.0,21,40,9.22,US,2021-04-18 22:35:51
5,Makat,47.6469,53.3463,59.52,61,100,5.41,KZ,2021-04-18 22:35:51
6,Nanortalik,60.1432,-45.2371,28.81,60,18,10.65,GL,2021-04-18 22:35:52
7,Qaanaaq,77.484,-69.3632,3.72,77,99,4.85,GL,2021-04-18 22:35:52
8,Mataura,-46.1927,168.8643,57.99,85,94,1.99,NZ,2021-04-18 22:35:52
9,Vaini,-21.2,-175.2,80.6,74,75,9.22,TO,2021-04-18 22:35:53
10,Chokurdakh,70.6333,147.9167,9.59,91,95,14.25,RU,2021-04-18 22:35:53
11,Cape Town,-33.9258,18.4232,69.01,88,0,12.66,ZA,2021-04-18 22:33:33
12,Dikson,73.5069,80.5464,-12.6,100,100,4.94,RU,2021-04-18 22:35:53
13,Igrim,63.1906,64.4162,8.11,94,9,3.2,RU,2021-04-18 22:35:54
14,Dukat,62.55,155.55,28.51,84,11,4.0,RU,2021-04-18 22:32:11
15,Arraial Do Cabo,-22.9661,-42.0278,77.0,83,75,4.61,BR,2021-04-18 22:35:54
16,Techiman,7.5862,-1.9414,73.47,82,91,6.62,GH,2021-04-18 22:35:54
17,Thompson,55.7435,-97.8558,30.2,37,20,13.8,CA,2021-04-18 22:35:55
18,Ushuaia,-54.8,-68.3,53.6,62,20,9.22,AR,2021-04-18 22:31:51
19,Hilo,19.7297,-155.09,84.2,51,1,13.8,US,2021-04-18 22:35:55
20,New Norfolk,-42.7826,147.0587,57.0,77,100,1.99,AU,2021-04-18 22:35:55
21,Hithadhoo,-0.6,73.0833,81.97,65,33,6.22,MV,2021-04-18 22:35:56
22,Katangli,51.7102,143.2326,30.99,97,100,25.32,RU,2021-04-18 22:35:56
23,Pithiviers,48.1667,2.25,44.01,75,0,2.3,FR,2021-04-18 22:35:56
24,Port Alfred,-33.5906,26.891,74.88,34,0,9.42,ZA,2021-04-18 22:35:57
